PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,14:21:09.87,1,1,"Polishuk, Will",1000375103,Right,POM_COL,"Dudas, Austin",10027315,Right,CHA_UNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.24924,-0.572046,-2.633239,2153.583443,210.051543,1:00,6.63077,1.33182,4.86056,-15.97434,21.56218,11.59028,4.75755,-0.19642,79.15339,-3.645123,-0.595622,0.440959,,,,,,,,,,,,-6.58201,11.18453,-1.08242,50,6.56211,5.35056,-128.86587,-1.77759,-10.76949,33.51111,-13.87392,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,519504d0-f16b-11ef-bbfe-3dd3c01fa6e6,85.47832,,,10.09585,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:21:09.87,2025-02-22T14:21:09.8755584-08:00,2025-02-22T22:21:09.8755584Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,23b33bb3-af3d-43ef-853a-97507fc904ef,55.63169,-130.32214,16.75556,6.62625,-1.17468,-6.93696,-1.3251,5.81856,-5.38474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,14:21:26.47,1,2,"Polishuk, Will",1000375103,Right,POM_COL,"Dudas, Austin",10027315,Right,CHA_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.56841,-3.54114,-3.188016,2209.890361,207.617092,1:00,6.46914,1.34758,4.96176,-15.0419,21.57131,10.46469,1.86079,-0.79528,80.22165,-6.437534,-1.34583,0.435502,,,,,,,,,,,,-6.2915,12.34497,-1.04766,50,6.11436,6.74351,-130.43622,-8.53364,-10.50542,35.29865,-11.56062,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,5b819b70-f16b-11ef-bbfe-3dd3c01fa6e6,86.54941,,,10.34676,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:21:26.47,2025-02-22T14:21:26.4792576-08:00,2025-02-22T22:21:26.4792576Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,37e9b8c7-8882-4de4-85f8-3483b5577bef,55.53018,-131.92431,17.64933,6.46384,-8.04627,-5.78031,-1.34128,7.18639,-5.25271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,14:21:45.50,1,3,"Polishuk, Will",1000375103,Right,POM_COL,"Dudas, Austin",10027315,Right,CHA_UNI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.80645,-2.447743,-4.576348,2110.815616,205.593639,12:45,6.54744,1.33441,4.94469,-17.29162,20.91446,9.22965,2.78449,-2.23043,78.49617,-5.75647,-2.957008,0.444875,,,,,,,,,,,,-6.18059,11.61528,-0.89701,50,6.29587,9.76832,-127.76391,-6.01033,-9.89462,34.03616,-13.57888,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,66d69bb0-f16b-11ef-bbfe-3dd3c01fa6e6,84.726,,,10.31028,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:21:45.50,2025-02-22T14:21:45.5066624-08:00,2025-02-22T22:21:45.5066624Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,1dcd54e7-de69-48e8-93b0-4ea9c7dec055,55.54535,-129.23274,17.01808,6.5426,-5.42433,-6.78944,-1.32778,10.19533,-4.94731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,14:22:06.00,1,4,"Polishuk, Will",1000375103,Right,POM_COL,"Dudas, Austin",10027315,Right,CHA_UNI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.84795,-2.796956,-3.118601,2057.208788,214.593503,1:15,6.49428,1.4255,4.96065,-19.24052,18.59214,11.74544,2.24247,-0.54491,79.06241,-6.43117,-1.050049,0.442695,,,,,,,,,,,,-6.90674,10.61174,-1.13352,50,6.20829,6.4184,-128.14645,-6.91426,-11.17087,33.22785,-15.01073,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,730b4d90-f16b-11ef-bbfe-3dd3c01fa6e6,85.14312,,,9.78554,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:22:06.00,2025-02-22T14:22:06.0051456-08:00,2025-02-22T22:22:06.0051456Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,d123ac50-a1d6-4e28-a3f7-4456bd4260ce,55.53361,-129.57335,16.61393,6.49137,-6.26966,-7.50537,-1.41945,6.8981,-5.58544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,14:22:40.63,2,1,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.14316,3.138774,-1.326799,1912.470374,28.519372,7:00,6.29339,1.50947,4.93054,-49.29818,-1.40559,-1.63323,5.15597,0.11896,70.89434,-5.812725,-1.614417,0.498087,,,,,,,,,,,,0.40528,-1.10339,-1.37889,50,6.55854,2.68878,-113.09798,4.41447,0.52139,21.92608,-33.59358,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,87b49c10-f16b-11ef-bbfe-3dd3c01fa6e6,75.67434,,,7.24881,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:22:40.63,2025-02-22T14:22:40.6315008-08:00,2025-02-22T22:22:40.6315008Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,26e5f955-8a04-44f5-a528-7f008bfd6650,55.56738,-114.17221,10.96304,6.30194,6.06034,-16.79679,-1.51,2.66323,0.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-22,14:22:58.13,2,2,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.9092,-3.583013,-3.961919,2226.771043,205.852842,12:45,6.48958,1.33851,4.83061,-15.66871,21.06072,9.53941,1.77812,-1.62453,81.05203,-6.543576,-2.289228,0.436193,,,,,,,,,,,,-5.87725,11.8252,-0.95385,50,6.12083,8.50278,-129.61987,-8.64138,-9.8792,30.12425,-12.29687,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,9226dd70-f16b-11ef-bbfe-3dd3c01fa6e6,86.4123,,,8.85717,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:22:58.13,2025-02-22T14:22:58.1327360-08:00,2025-02-22T22:22:58.1327360Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,e3a0633e-f721-4bd1-ba80-cea32143bf48,55.6637,-130.92952,15.06212,6.48489,-8.10678,-6.14843,-1.33284,8.93228,-4.9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,14:23:16.72,2,3,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.44778,-3.343051,-3.804261,2102.902382,214.474426,1:15,6.42922,1.49772,5.09404,-20.73804,16.82643,10.593,1.53996,-1.21001,79.83468,-7.208986,-1.93595,0.441123,,,,,,,,,,,,-6.44272,9.81127,-1.14642,50,6.09679,7.99085,-127.64093,-8.18494,-10.48679,29.55093,-16.20431,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,9d386c10-f16b-11ef-bbfe-3dd3c01fa6e6,85.4465,,,8.61311,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:23:16.72,2025-02-22T14:23:16.7241728-08:00,2025-02-22T22:23:16.7241728Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,68c50e39-51f1-4c38-b017-ed2418db91cd,55.40178,-128.88546,14.77547,6.42713,-7.5025,-8.10216,-1.49226,8.4325,-5.2434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,14:23:34.04,2,4,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.93629,-1.954883,-4.370507,2175.850666,202.730882,12:45,6.49694,1.42425,5.1533,-16.72214,20.56749,8.00745,3.25706,-2.03078,79.54324,-5.146461,-2.959767,0.439507,,,,,,,,,,,,-5.4117,11.25686,-1.02137,50,6.30168,9.4222,-128.28654,-4.90056,-8.84004,31.43742,-13.78595,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,a79095c0-f16b-11ef-bbfe-3dd3c01fa6e6,85.76081,,,9.39306,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:23:34.04,2025-02-22T14:23:34.0458496-08:00,2025-02-22T22:23:34.0458496Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,a6bca510-ad8e-4eba-8c8e-13297c217621,55.3401,-129.58856,15.71871,6.49282,-4.3296,-6.89298,-1.41918,9.78832,-4.42002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,14:23:54.34,2,5,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.91848,-3.750001,-2.815496,2074.950391,212.323667,1:00,6.46082,1.32145,4.97325,-18.27383,19.8032,11.64335,1.38668,-0.36972,79.49722,-7.173902,-0.763389,0.444123,,,,,,,,,,,,-6.59906,11.34445,-1.05924,50,6.0836,5.69291,-126.94778,-8.93486,-10.64815,28.70822,-13.86881,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,b3a5ffd0-f16b-11ef-bbfe-3dd3c01fa6e6,84.86941,,,8.42126,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:23:54.34,2025-02-22T14:23:54.3485440-08:00,2025-02-22T22:23:54.3485440Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,1da34598-3dbb-4972-84be-a85184c1a9c1,55.52261,-128.19059,14.35411,6.45741,-8.33447,-6.9344,-1.31567,6.15388,-5.32407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,14:24:12.71,2,6,"Polishuk, Will",1000375103,Right,POM_COL,"Toporek, Max",1000269511,Right,CHA_UNI,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.50582,-2.754189,-3.118071,2194.015467,205.291983,12:45,6.50671,1.29232,4.87575,-15.64481,20.4454,9.02717,2.59102,-0.90874,81.50615,-5.717407,-1.531511,0.43238,,,,,,,,,,,,-5.44087,11.3315,-0.99366,50,6.2233,6.68278,-130.73495,-6.81556,-9.28691,31.10646,-12.83262,POM_COL,CHA_UNI,PomonaPitzer,D3,Team,20250222-PomonaPitzer-2,be9c8c60-f16b-11ef-bbfe-3dd3c01fa6e6,87.17424,,,8.99966,,,,,,,eca08de3-b488-4029-965a-0ebe30e993be,2025-02-22,22:24:12.71,2025-02-22T14:24:12.7116288-08:00,2025-02-22T22:24:12.7116288Z,,v3,POM_PIT,,,"Hattenburg, Xavier",10277269,Right,POM_COL,d39140a8-4d49-4aad-8fe5-88a16b69aff9,55.62079,-132.06556,15.55323,6.5031,-6.26663,-6.41631,-1.28802,7.08003,-4.64345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
