PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,15:03:18.54,1,1,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.91082,0.162454,-2.571448,2445.609419,86.198823,8:45,4.91854,2.70534,5.82273,-44.48916,1.5426,-3.00697,1.3623,0.06247,71.04196,-8.065639,-3.110151,0.488315,,,,,,,,,,,,0.6326,1.27543,-2.49321,50,4.9061,5.2488,-114.26984,-1.09371,0.81677,25.66376,-30.52722,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,41a86be0-27a1-11f0-a6c4-49f1be01ace8,77.18876,,,7.86885,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:03:18.54,2025-05-02T15:03:18.5498112-07:00,2025-05-02T22:03:18.5498112Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,c321871b-75ca-4d8f-9d67-8b7c61584c60,54.67314,-115.3146,12.83188,4.92532,0.14904,-15.26361,-2.7062,5.21554,0.40839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,15:03:34.92,1,2,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,1,0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.2319,0.207575,-2.383152,2100.978872,238.292634,2:00,4.63225,2.5973,6.25938,-33.1362,6.73717,8.8313,2.06247,1.13452,76.02819,-5.985163,-0.787877,0.454478,,,,,,,,,,,,-5.22851,3.85484,-2.42444,50,4.63171,4.69049,-120.86573,-0.56958,-7.71332,24.15526,-26.48723,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,4b505860-27a1-11f0-a6c4-49f1be01ace8,82.93564,,,7.20371,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:03:34.92,2025-05-02T15:03:34.9291008-07:00,2025-05-02T22:03:34.9291008Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,61e95ccb-cfb5-49ac-b643-4962151a8f43,54.23854,-121.70987,12.07763,4.63544,0.35605,-13.24361,-2.59307,4.96004,-3.85666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-02,15:03:51.75,1,3,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,1,1,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.12132,0.381703,-2.44689,2174.212254,263.787017,2:45,4.57778,2.74295,6.25056,-36.63175,2.39347,10.57005,1.87748,1.36581,76.92718,-6.432575,-0.537383,0.449618,,,,,,,,,,,,-6.14107,1.55284,-2.5658,50,4.58857,4.8104,-122.17853,-0.34632,-9.26052,24.60792,-29.8324,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,55558010-27a1-11f0-a6c4-49f1be01ace8,83.83208,,,7.19415,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:03:51.75,2025-05-02T15:03:51.7526016-07:00,2025-05-02T22:03:51.7526016Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,254d811a-fa72-4c93-88c8-d627eb17a986,54.24841,-123.03123,12.30396,4.58266,0.68741,-14.9162,-2.73805,5.13129,-4.63026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,15:04:09.62,1,4,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.82833,-0.294538,-2.449069,2578.874873,69.391254,8:15,5.03285,2.49326,5.92092,-42.71109,-0.35004,-4.94528,1.20002,-0.19293,74.1823,-8.175369,-3.337045,0.468441,,,,,,,,,,,,1.72146,0.3889,-2.29435,50,4.98542,5.26801,-118.62463,-2.01104,2.41087,26.3208,-31.62938,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,6018c7a0-27a1-11f0-a6c4-49f1be01ace8,80.46363,,,7.64603,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:04:09.62,2025-05-02T15:04:09.6242176-07:00,2025-05-02T22:04:09.6242176Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,f723c794-4c3b-41ff-b65d-13de0cafbd93,54.57674,-119.63582,13.1604,5.03934,-0.79591,-15.81469,-2.49496,5.17538,1.20544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-02,15:04:30.73,1,5,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.12109,1.349331,-1.307167,2442.938748,110.558132,9:45,4.92989,2.58706,6.03713,-38.9103,2.59225,-3.22461,2.93735,1.10775,74.64711,-5.880305,-1.887391,0.46367,,,,,,,,,,,,1.2502,1.39106,-2.48342,50,5.01466,2.84668,-119.18982,1.56132,1.78379,24.64918,-30.18924,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,6c92e6f0-27a1-11f0-a6c4-49f1be01ace8,81.29158,,,7.47398,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:04:30.73,2025-05-02T15:04:30.7382272-07:00,2025-05-02T22:04:30.7382272Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,f8f2083e-c2a5-452e-96d6-ad2f40664807,54.46013,-120.10866,12.32459,4.93548,2.68667,-15.09462,-2.58829,2.78019,0.8919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-02,15:04:50.96,1,6,"Collins, Ethan",1000115647,Right,POM_COL,"Kubo, Tyler",1000311834,Left,OCC_T,Undefined,1,Top,0,3,2,TwoSeamFastBall,Slider,InPlay,Undefined,LineDrive,Single,0,0,,83.91147,0.6737,-2.460662,2189.470106,245.565302,2:15,4.72853,2.57745,6.26775,-35.42211,4.26835,6.28162,2.39841,0.83096,75.76332,-5.959819,-1.326107,0.453434,87.42355,12.914228,29.39967,2721.365851,93.09263,10.30336,58.59828,160.55018,137.57907,34.256748,1.511645,-4.05729,2.40854,-2.39821,50,4.76143,4.99033,-121.72211,0.34196,-5.99094,27.41665,-28.61763,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,78bc2720-27a1-11f0-a6c4-49f1be01ace8,83.12656,11.82158,,8.14815,,,,1.31974,2.32315,-0.88982,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:04:50.96,2025-05-02T15:04:50.9657088-07:00,2025-05-02T22:04:50.9657088Z,LineDrive,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,c53362d9-06b0-41c9-aa26-06685d991e81,54.23017,-122.67121,13.70833,4.73244,1.33263,-14.30882,-2.57455,5.19772,-2.99547,,1.31974,108.88286,-17.18424,2.33288,-0.48315,0.07917,-0.00972,0.00034,0.00012,2.32315,28.65735,-23.31643,2.86919,-0.57024,0.09088,0.00875,-0.00903,0.00165,-0.88982,61.35055,-0.05125,-0.52452,0.1029,0.00727,-0.02426,0.01077,-0.00174,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-02,15:05:26.85,2,1,"Collins, Ethan",1000115647,Right,POM_COL,"Munch, Thomas",10149275,Right,OCC_T,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.06918,1.804324,-2.968278,2469.321624,138.325082,10:30,5.02354,2.62302,6.10941,-39.6566,4.05437,-2.29764,3.39007,-0.31567,72.64705,-5.58001,-3.381172,0.475846,,,,,,,,,,,,0.26409,2.04713,-2.39389,50,5.14215,6.10551,-116.04117,2.44354,0.35677,23.59868,-29.40865,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,8e081e40-27a1-11f0-a6c4-49f1be01ace8,79.21139,,,7.42212,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:05:26.85,2025-05-02T15:05:26.8583424-07:00,2025-05-02T22:05:26.8583424Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,bba9aace-1b2f-4985-b85c-1522cce57895,54.38668,-116.92987,11.79934,5.02927,3.55103,-14.70433,-2.62356,6.09207,0.17839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-02,15:05:45.08,2,2,"Collins, Ethan",1000115647,Right,POM_COL,"Munch, Thomas",10149275,Right,OCC_T,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.94714,0.67795,-2.058565,2523.932221,110.785046,9:45,4.96518,2.64815,6.07689,-44.67514,6.68914,-12.96965,1.86997,-0.33819,67.29743,-7.625627,-4.391728,0.515825,,,,,,,,,,,,5.97831,3.80811,-2.48247,50,4.99449,4.31236,-107.26424,0.01435,6.87386,20.82253,-27.7955,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,98ec0d30-27a1-11f0-a6c4-49f1be01ace8,73.0722,,,6.64972,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:05:45.08,2025-05-02T15:05:45.0806272-07:00,2025-05-02T22:05:45.0806272Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,fb4cef23-71ba-4ced-a6ad-1b9bf6974842,54.41978,-108.11882,10.41127,4.9705,1.1551,-13.89775,-2.65367,4.03025,3.43693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,15:06:07.04,2,3,"Collins, Ethan",1000115647,Right,POM_COL,"Munch, Thomas",10149275,Right,OCC_T,Undefined,1,Top,0,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.6386,1.079945,-3.575521,2492.475315,117.465598,10:00,5.03936,2.80664,6.25572,-41.02589,7.63615,-11.63753,2.61846,-1.46459,69.05606,-6.566026,-5.668638,0.502073,,,,,,,,,,,,4.90012,4.16729,-2.5359,50,5.10009,7.26049,-109.63783,0.93575,5.9165,20.83798,-27.14241,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,a5ffad60-27a1-11f0-a6c4-49f1be01ace8,75.07369,,,6.58254,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:06:07.04,2025-05-02T15:06:07.0420992-07:00,2025-05-02T22:06:07.0420992Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,24948dd0-a8c6-439e-877a-a2773ee86045,54.24099,-110.44094,10.41899,5.04386,1.98183,-13.5712,-2.81133,7.03246,2.95825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,15:06:36.05,3,1,"Collins, Ethan",1000115647,Right,POM_COL,"Cambra, Jeffery",1000224003,Right,OCC_T,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.99926,0.196067,-1.70798,2532.62785,132.797606,10:30,5.18961,2.43233,6.01051,-37.92337,5.73961,-4.66044,2.21106,0.46118,73.07865,-6.841766,-2.546236,0.475585,,,,,,,,,,,,1.87937,3.35634,-2.29581,50,5.18459,3.64049,-116.14024,-0.77046,2.5529,22.86202,-27.61485,POM_COL,OCC_T,PomonaPitzer,D3,Team,20250502-PomonaPitzer-1,b74ab5b0-27a1-11f0-a6c4-49f1be01ace8,79.25492,,,6.92062,,,,,,,f08dd5ea-f4df-4c2b-9a4a-883edc091528,2025-05-02,22:06:36.05,2025-05-02T15:06:36.0506368-07:00,2025-05-02T22:06:36.0506368Z,,v3,POM_PIT,,,"Lee, Sammy",1000276388,Right,POM_COL,32f9747e-0016-4797-b8b8-5a788261f5a4,54.48698,-117.02016,11.43101,5.19379,0.29239,-13.80742,-2.43404,3.54223,1.27645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
