PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-17,13:50:21.01,1,1,"Zerger, Justin",10051439,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.84507,-1.618665,-2.294783,1721.615758,234.410825,1:45,5.774,0.94518,5.60225,-29.30179,10.17481,12.37064,1.81949,-0.16734,77.39849,-7.041713,-0.085884,0.452211,,,,,,,,,,,,-6.89158,6.03374,-0.75663,50,5.61657,4.40355,-123.00678,-4.46471,-10.50806,25.49527,-22.97397,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,e5bff040-ab9a-11f0-bdec-9ba129dde21b,83.35143,,,7.44658,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:50:21.01,2025-10-17T13:50:21.0119168-07:00,2025-10-17T20:50:21.0119168Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,a5681d89-ef5a-426c-8b27-0f790e21626a,54.89429,-124.01705,12.74763,5.77545,-3.55435,-11.48699,-0.93937,4.81994,-5.25403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-17,13:50:37.24,1,2,"Zerger, Justin",10051439,Right,POM_COL,"Gonzaga, Kai",10138924,Left,POM_COL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,80.3417,-0.770951,-1.42797,1592.478376,240.307073,2:00,5.54133,0.95821,5.10922,-36.33411,8.1,11.8067,1.78687,0.59647,73.95466,-7.390813,0.662701,0.479766,87.13276,-5.893789,28.869895,,,,,20.46927,20.46927,24.156648,0.145818,-6.30303,4.62792,-0.83345,50,5.44036,2.42443,-116.61607,-2.83826,-8.70585,21.31209,-25.78189,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,ef846570-ab9a-11f0-bdec-9ba129dde21b,78.56418,1.91611,,6.38705,,,,2.42218,1.91611,-0.58518,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:50:37.24,2025-10-17T13:50:37.2492288-07:00,2025-10-17T20:50:37.2492288Z,GroundBall,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,31772638-2a72-4dee-a2be-13c480ada568,55.39047,-117.59708,10.65605,5.54369,-1.65151,-12.89095,-0.95427,2.82516,-4.35292,,2.41863,111.47172,,,,,,,,1.91652,-13.14038,,,,,,,,-0.58714,61.4593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2025-10-17,13:51:11.49,2,1,"Zerger, Justin",10051439,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.70042,1.04481,1.016891,2407.047244,80.256501,8:45,5.42284,1.20265,4.50429,-54.0566,0.00709,-9.65402,1.91378,1.36704,67.92267,-8.639569,-0.67434,0.529205,,,,,,,,,,,,4.95977,0.2452,-1.29944,50,5.48071,-1.50156,-106.88224,0.00766,5.752,17.98179,-31.88967,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,03dcadc0-ab9b-11f0-bdec-9ba129dde21b,71.22459,,,5.77775,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:51:11.49,2025-10-17T13:51:11.4928640-07:00,2025-10-17T20:51:11.4928640Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,a8ac4b96-991e-4e4b-a3e8-9ba1f20213da,55.9949,-107.8861,8.9909,5.43058,1.78795,-15.94484,-1.20665,-1.82267,2.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-10-17,13:51:28.43,2,2,"Zerger, Justin",10051439,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.55869,0.233371,0.459288,2016.843472,226.911645,1:30,5.67583,1.17504,5.20553,-30.23584,10.97764,10.29473,3.37566,2.46488,76.13625,-5.341317,2.283619,0.462052,,,,,,,,,,,,-4.96146,5.82429,-1.22542,50,5.67508,-1.4243,-121.19421,-0.56598,-7.3509,24.53508,-23.54473,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,0df361a0-ab9b-11f0-bdec-9ba129dde21b,81.57614,,,7.42244,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:51:28.43,2025-10-17T13:51:28.4319744-07:00,2025-10-17T20:51:28.4319744Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,f6bb3a6f-83f2-4134-a157-303b746e538e,55.29015,-122.26048,12.26754,5.67744,0.45725,-11.77237,-1.17047,-1.10484,-3.67545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-17,13:51:51.62,2,3,"Zerger, Justin",10051439,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.33099,-1.80239,-3.028035,1690.237639,234.697756,1:45,5.63279,0.96966,5.59384,-29.15663,11.74107,14.67024,1.51731,-0.63768,76.16671,-7.199247,-0.411089,0.460279,,,,,,,,,,,,-8.26174,6.87087,-0.7194,50,5.45923,5.78104,-120.76673,-4.76074,-12.16988,24.08437,-22.05299,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,1bba9a60-ab9b-11f0-bdec-9ba129dde21b,81.89047,,,7.16427,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:51:51.62,2025-10-17T13:51:51.6229120-07:00,2025-10-17T20:51:51.6229120Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,ed40e03d-753f-45ed-9c22-1a3da516ec20,54.90362,-121.74073,12.04219,5.63372,-3.86889,-11.0265,-0.96314,6.27321,-6.08494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-17,13:52:46.33,2,4,"Zerger, Justin",10051439,Right,POM_COL,"Hu, Landon",1000261921,Left,POM_COL,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,83.63122,-0.837184,-0.93211,1912.272435,228.721912,1:30,5.80246,0.9287,5.53099,-32.42612,8.22122,7.84056,2.31755,0.71069,76.36173,-6.81853,0.467075,0.458868,84.05549,7.617456,-23.728348,2440.156597,,,,123.295,110.139,-27.672308,1.124968,-4.25158,4.78551,-0.85319,50,5.70824,1.6532,-121.37712,-2.87334,-6.31059,24.87492,-25.07094,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,3c7904d0-ab9b-11f0-bdec-9ba129dde21b,82.14226,6.21968,,7.26949,,,,0.9434,2.26437,-0.69254,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:52:46.33,2025-10-17T13:52:46.3364096-07:00,2025-10-17T20:52:46.3364096Z,GroundBall,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,524516ca-45c4-4358-970b-5cd36c6e1638,54.96728,-122.39088,12.43746,5.80452,-1.8516,-12.53547,-0.92581,1.91038,-3.1553,97.493315,0.9434,111.86348,-17.26565,3.72187,-0.77932,0.13701,-0.02388,0.00363,-0.00029,2.26437,16.34195,-17.32825,0.98001,-0.07225,-0.00456,0.0061,-0.00118,0.00011,-0.69254,-49.17066,-2.1647,1.48607,-0.51234,0.13638,-0.03232,0.00609,-0.00066,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-10-17,13:53:19.75,3,1,"Zerger, Justin",10051439,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.1849,0.413337,-2.595184,2515.792637,51.918119,7:45,5.47256,1.06999,4.98136,-53.87247,-5.20189,-8.57091,1.37394,-2.09674,71.11281,-9.275847,-4.107624,0.502117,,,,,,,,,,,,3.51981,-2.27347,-0.81219,50,5.46817,5.41718,-111.92009,-1.11176,4.4528,20.69333,-35.05014,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,506ebac0-ab9b-11f0-bdec-9ba129dde21b,75.06709,,,6.0721,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:53:19.75,2025-10-17T13:53:19.7541376-07:00,2025-10-17T20:53:19.7541376Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,049391ef-5f2c-41c9-be85-0f7d64b0b5e8,55.51939,-112.93598,10.34667,5.48051,0.60894,-17.52507,-1.07277,5.19858,2.2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-10-17,13:53:38.40,3,2,"Zerger, Justin",10051439,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.09668,-1.550134,-3.120204,2065.460128,213.174929,1:00,5.83873,0.72956,5.52376,-22.92033,14.56001,8.72178,2.47697,-1.46361,79.55168,-5.821445,-1.56825,0.440629,,,,,,,,,,,,-5.27048,8.15134,-0.4639,50,5.6886,6.50233,-126.22385,-4.18052,-8.49596,25.88994,-19.03413,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,5b911240-ab9b-11f0-bdec-9ba129dde21b,85.54231,,,7.545,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:53:38.40,2025-10-17T13:53:38.4039424-07:00,2025-10-17T20:53:38.4039424Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,111ab3d0-3d1e-49e0-99a8-a118e9ba3cf5,54.97353,-127.23988,12.94497,5.838,-3.43354,-9.51706,-0.72562,6.83575,-4.24798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-17,13:53:58.44,3,3,"Zerger, Justin",10051439,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.53772,-3.024033,-3.284772,1757.914028,244.5358,2:15,5.78413,0.83605,5.68896,-29.4797,8.11689,14.6128,0.50177,-1.01105,79.80782,-8.434961,-0.672259,0.441312,,,,,,,,,,,,-8.348,5.27642,-0.56904,50,5.51067,6.59908,-125.42082,-7.64647,-13.35375,24.35741,-23.73373,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,676b6f20-ab9b-11f0-bdec-9ba129dde21b,85.40999,,,6.7299,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:53:58.44,2025-10-17T13:53:58.4494592-07:00,2025-10-17T20:53:58.4494592Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,5121d5f9-efca-4d30-8767-81f65d5649bc,54.81136,-126.35176,12.17871,5.78558,-6.73937,-11.86687,-0.83101,7.10945,-6.67687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-17,13:54:19.70,3,4,"Zerger, Justin",10051439,Right,POM_COL,"Cassidy, Caleb",10304248,Right,POM_COL,Undefined,1,Top,1,1,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.83479,-1.158788,-1.590887,1774.155797,251.598869,2:30,5.91389,0.7307,5.27677,-32.0086,7.13335,17.4071,2.15759,0.68672,78.05525,-7.03619,1.500939,0.45029,,,,,,,,,,,,-9.15225,4.33012,-0.59858,50,5.78491,2.68162,-124.43184,-3.68455,-14.22354,27.01092,-25.44461,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20251017-PomonaPitzer-Private-1,73fbd590-ab9b-11f0-bdec-9ba129dde21b,83.70697,,,7.77954,,,,,,,1281aa50-c58b-434b-a235-220b35bf6a67,2025-10-17,20:54:19.70,2025-10-17T13:54:19.7020000-07:00,2025-10-17T20:54:19.7020000Z,,v3,POM_PIT,POM_PIT,,"Savas, Peter",1000276389,Right,POM_COL,61e16f13-988b-4ef8-a6f8-216fb328f360,55.22058,-125.55998,13.50546,5.9166,-2.62183,-12.7223,-0.72299,3.27568,-7.11177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.52602,3.389746,1.790771,1.598975,-0.5815,1.90657,-0.74109,-4.92946,5.18896,1.34739,73.85225,11.34045,50.94905,-4.76737,55.18283,-3.76309,5.33259,27.94612,-15.12724,1.34698,32.15153,-0.70714,High,High,High,,,High,High,High
