PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-16,13:47:14.67,1,1,"Polishuk, Will",1000375103,Right,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.87708,-2.62698,-3.729367,2268.793005,207.933834,1:00,6.22593,1.03812,5.19199,-14.63717,20.57883,10.24812,2.528,-1.62103,82.2261,-5.41622,-1.919614,0.427112,,,,,,,,,,,,-6.188,11.37638,-0.69966,50,5.9711,8.06847,-131.3355,-6.48533,-10.72286,29.86577,-12.46042,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,ebfd65b0-f324-11f0-920e-eda960558d24,88.2496,,,8.65098,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:47:14.67,2026-01-16T13:47:14.6762752-08:00,2026-01-16T21:47:14.6762752Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,12d3b38d-05b8-4db1-b564-112d6d76b531,55.3033,-132.53599,14.93288,6.22172,-5.98447,-6.23021,-1.03264,8.49949,-5.36143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-01-16,13:47:32.39,1,2,"Polishuk, Will",1000375103,Right,POM_COL,"Green, Mason",10147543,Right,POM_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.58773,-2.300268,-2.480757,2215.452049,211.188036,1:00,6.16785,1.1173,5.23611,-16.18115,18.9508,10.75221,2.65415,-0.31987,82.37502,-5.355358,-0.576321,0.426601,98.65369,9.50835,-25.240516,2956.758718,,,,128.29333,128.08279,-27.210876,1.007371,-6.13154,10.50997,-0.89748,50,5.94455,5.19251,-131.21954,-5.80746,-10.64101,28.97158,-13.93445,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,f6a6e3b0-f324-11f0-920e-eda960558d24,88.35515,7.70954,,8.21271,,,,2.33831,2.6905,0.37649,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:47:32.39,2026-01-16T13:47:32.3927040-08:00,2026-01-16T21:47:32.3927040Z,LineDrive,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,1548ce06-1d4c-4c5b-862f-b59e76b9315e,55.26248,-132.37633,14.48579,6.16533,-5.25108,-6.96722,-1.11329,5.61739,-5.32051,,2.33831,129.07942,-20.97779,3.59712,-0.74353,0.06888,0.07657,-0.06353,0.01687,2.6905,23.90181,-30.27141,4.78787,-1.11265,0.17466,0.07741,-0.07908,0.0219,0.37649,-60.85172,1.05501,1.56657,-0.50459,0.06336,0.10517,-0.08974,0.02443,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-01-16,13:48:13.58,2,1,"Polishuk, Will",1000375103,Right,POM_COL,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.33393,-3.085579,-1.384481,2255.031207,213.624152,1:00,6.25552,1.46444,5.10924,-15.99135,20.65273,12.8339,2.0122,1.2293,80.58286,-6.119633,0.885636,0.435686,,,,,,,,,,,,-6.76689,11.59993,-1.34432,50,5.95281,2.51053,-129.19932,-7.46428,-11.28552,30.2665,-12.82823,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,0f1d66d0-f325-11f0-920e-eda960558d24,86.51291,,,8.75107,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:48:13.58,2026-01-16T13:48:13.5857152-08:00,2026-01-16T21:48:13.5857152Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,30cb2a3e-8c6b-4079-adb5-4cea9b7e87cd,55.38554,-130.45484,15.13325,6.25141,-6.93213,-6.41411,-1.45817,2.97868,-5.64276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-01-16,13:48:35.07,2,2,"Polishuk, Will",1000375103,Right,POM_COL,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.42989,-2.09596,-1.969035,2221.476269,214.760671,1:15,6.2059,1.45186,5.13975,-19.27855,16.97221,10.90898,2.62373,0.50615,81.16384,-5.701834,-0.038898,0.433341,72.68708,20.257515,-167.648732,,,,,,17.12625,,,-6.06075,9.45859,-1.27633,50,5.99517,3.95429,-129.5415,-5.41009,-10.21998,28.99363,-16.22446,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,1c07fb30-f325-11f0-920e-eda960558d24,86.98098,9.39751,,8.26606,,,,2.72326,2.74364,-0.50936,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:48:35.07,2026-01-16T13:48:35.0795264-08:00,2026-01-16T21:48:35.0795264Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,b9d31fda-e104-4079-905a-bee1ff59c2d7,55.35846,-130.73532,14.49681,6.20418,-4.74205,-8.11223,-1.44781,4.3751,-5.10999,255.224265,2.72303,-97.68281,6.37263,,,,,,,2.74383,36.89875,-16.97161,,,,,,,-0.5091,-21.41057,-3.71927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-01-16,13:49:00.61,2,3,"Polishuk, Will",1000375103,Right,POM_COL,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.4565,-1.364378,-1.622593,2077.102417,137.926387,10:30,6.01515,1.66164,5.14569,-37.64006,5.09654,-3.26083,1.59316,-0.13818,75.05457,-8.22573,-2.200377,0.470513,,,,,,,,,,,,1.1148,3.42256,-1.5072,50,5.85885,3.52469,-119.43901,-4.20859,1.59331,25.28068,-27.28241,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,2b2fd560-f325-11f0-920e-eda960558d24,80.1093,,,7.40193,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:49:00.61,2026-01-16T13:49:00.6139904-08:00,2026-01-16T21:49:00.6139904Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,4cf362b4-b4f5-43a0-bf74-4acb1b0fe8db,55.35019,-120.56612,12.64034,6.01937,-2.99223,-13.64121,-1.66276,3.45366,0.79665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-01-16,13:49:27.40,2,4,"Polishuk, Will",1000375103,Right,POM_COL,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,91.30724,0.45034,-1.438628,2230.399652,206.625684,1:00,6.31245,1.45402,5.15905,-14.41343,20.27281,9.57729,5.53537,0.8977,82.60742,-2.305762,0.256095,0.423887,,,,,,,,,,,,-5.13697,10.25004,-1.32715,50,6.34399,2.85495,-132.3297,0.60124,-9.05259,29.86497,-14.11093,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,3b1ed020-f325-11f0-920e-eda960558d24,88.92094,,,8.69981,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:49:27.40,2026-01-16T13:49:27.4000000-08:00,2026-01-16T21:49:27.4000000Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,a3458a72-9473-412a-b73d-19475f279966,55.33555,-133.52843,14.93248,6.30849,1.16762,-7.05547,-1.44903,3.21831,-4.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.90976,2.037169,0.736461,1.300708,-3.03977,5.34491,-0.92306,-1.70577,6.13008,0.09017,127.27943,2.02621,4.16678,-1.57884,110.54826,-8.91998,6.16484,13.27214,-12.67919,0.0867,2.98289,0.12081,High,High,High,,,High,Medium,Medium
7,2026-01-16,13:49:56.51,2,5,"Polishuk, Will",1000375103,Right,POM_COL,"Berry, Cooper",1000276381,Left,POM_COL,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.64608,0.231954,-1.515737,1331.675314,266.554701,3:00,6.06717,1.48402,5.04483,-39.50167,2.12595,11.41008,2.99423,1.00479,75.91742,-6.967711,0.501955,0.464368,,,,,,,,,,,,-6.06489,1.46429,-1.34882,50,6.05822,2.692,-121.20206,-1.00667,-8.93358,25.84585,-30.01716,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,4c81f450-f325-11f0-920e-eda960558d24,81.16936,,,7.72867,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:49:56.51,2026-01-16T13:49:56.5190000-08:00,2026-01-16T21:49:56.5190000Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,40d647ad-32c8-4775-bfca-aace15a3720b,55.45125,-122.35899,12.92293,6.07321,0.33698,-15.00858,-1.47827,3.09189,-4.46679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.55429,2.737719,1.76809,0.969629,-1.71606,2.59858,-1.03545,-1.95139,4.98358,-3.95908,74.94473,9.27289,-49.85193,-1.91779,83.86243,-4.72633,5.02886,18.84254,-14.9041,-4.02532,-53.34648,6.25566,High,High,High,,,High,High,High
8,2026-01-16,13:50:23.26,3,1,"Polishuk, Will",1000375103,Right,POM_COL,"DeGrazia, Tanner",1000214434,Right,POM_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.58629,-1.32798,-2.271424,2240.452936,201.048078,12:45,6.22541,1.20915,5.17832,-13.89142,21.64989,7.8276,3.81704,-0.27693,81.41792,-4.006921,-0.886771,0.42908,,,,,,,,,,,,-4.64469,11.60024,-1.00411,50,6.0922,4.83323,-131.11771,-3.45368,-7.9611,31.70949,-12.29096,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,5c864bd0-f325-11f0-920e-eda960558d24,87.84484,,,9.16837,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:50:23.26,2026-01-16T13:50:23.2692736-08:00,2026-01-16T21:50:23.2692736Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,d7a5ddb5-d037-47ef-8998-7cc37233a608,55.31796,-132.39756,15.85475,6.22158,-2.9576,-6.14548,-1.20568,5.15455,-3.98055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-01-16,13:50:47.59,3,2,"Polishuk, Will",1000375103,Right,POM_COL,"DeGrazia, Tanner",1000214434,Right,POM_COL,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.89372,1.736779,-1.336166,2007.191829,353.936681,5:45,6.00066,1.35444,5.07883,-44.20428,-0.3228,0.21008,3.95513,0.11215,73.43407,-6.347472,-1.299027,0.476773,,,,,,,,,,,,-0.55429,-0.15945,-1.22801,50,6.13123,2.75344,-118.4535,1.93881,-0.77138,26.95336,-32.39595,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,6af620a0-f325-11f0-920e-eda960558d24,79.05736,,,8.45965,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:50:47.59,2026-01-16T13:50:47.5953152-08:00,2026-01-16T21:50:47.5953152Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,584b0dc2-3ff1-46f3-994c-6ff7fca7178c,55.41434,-119.67915,13.47668,6.00957,3.41196,-16.19798,-1.35401,2.78852,-0.38569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-01-16,13:51:04.35,3,3,"Polishuk, Will",1000375103,Right,POM_COL,"DeGrazia, Tanner",1000214434,Right,POM_COL,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.79549,0.270752,-3.385829,2091.9596,156.728578,11:15,6.03285,1.26588,5.30025,-36.31624,4.87835,-1.49008,3.26113,-2.04063,76.05196,-6.386961,-3.649606,0.461946,,,,,,,,,,,,-0.2974,2.82016,-0.95677,50,6.03153,7.24048,-121.27726,-0.73584,-0.43868,25.83178,-28.01394,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260116-PomonaPitzer-Private-3,74e8d1c0-f325-11f0-920e-eda960558d24,81.59485,,,7.74353,,,,,,,5fa35a42-9d85-4343-b482-725ce5839cf7,2026-01-16,21:51:04.35,2026-01-16T13:51:04.3584512-08:00,2026-01-16T21:51:04.3584512Z,,v3,POM_PIT,POM_PIT,,"Parker, will",n/a,Undefined,POM_COL,ae1420c9-e7f5-47a3-9a7e-20da850a6889,55.19488,-122.37876,12.91589,6.03744,0.45871,-14.00697,-1.26591,7.25919,-0.21934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
