PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-31,14:14:24.34,1,1,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.93493,-2.100592,2.698078,1926.987804,139.499843,10:45,5.77416,-2.2316,4.72655,-27.26757,18.95875,-14.78272,1.50568,-0.90161,72.55271,-7.125907,0.103126,0.489346,,,,,,,,,,,,8.0243,10.39713,1.97306,50,5.53875,-4.79723,-115.58676,-5.16499,10.76622,23.20458,-18.22415,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,339f1610-fef2-11f0-b1f6-4576665ff52a,77.02613,,,7.38222,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:14:24.34,2026-01-31T14:14:24.3449856-08:00,2026-01-31T22:14:24.3449856Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,cb762e0e-20bc-4726-90a1-117c816a7396,55.76881,-116.73912,11.60229,5.77278,-4.25995,-9.11208,2.22457,-5.3319,5.38311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-01-31,14:14:39.73,1,2,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.13975,-2.21395,4.331354,2011.466581,149.86942,11:00,5.80593,-2.31252,4.77959,-22.9547,21.82344,-11.75694,1.78739,0.82124,73.74319,-6.476775,2.272836,0.48162,,,,,,,,,,,,7.01071,11.803,1.88958,50,5.56491,-8.35467,-117.1699,-5.29013,9.70208,23.07421,-15.83998,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,3cc2b760-fef2-11f0-b1f6-4576665ff52a,78.2618,,,7.39655,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:14:39.73,2026-01-31T14:14:39.7306880-08:00,2026-01-31T22:14:39.7306880Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,875f00d8-6a8c-4d8d-9002-b46be21ccea1,55.7161,-118.29021,11.53711,5.80309,-4.52105,-7.91999,2.30666,-8.82573,4.85104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-01-31,14:14:57.31,1,3,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.75944,-0.232104,3.861653,1860.034885,137.679175,10:30,5.72175,-2.36281,4.85028,-27.43289,17.77725,-14.70686,3.21545,0.07284,72.89961,-5.318993,1.280584,0.483938,,,,,,,,,,,,8.32351,9.26721,1.99394,50,5.67634,-7.21721,-116.696,-1.39283,11.36552,23.96503,-19.51988,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,473c24b0-fef2-11f0-b1f6-4576665ff52a,77.88699,,,7.85983,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:14:57.31,2026-01-31T14:14:57.3182464-08:00,2026-01-31T22:14:57.3182464Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,02549965-b019-4778-80a9-eb7dea129d4e,55.64325,-117.84922,11.98251,5.72076,-0.45352,-9.75994,2.3544,-7.76412,5.68276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-01-31,14:15:13.21,1,4,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.85187,2.99125,2.210654,1605.408985,113.90881,9:45,5.8272,-2.5106,4.82418,-45.55416,7.13508,-11.91386,4.86877,-1.40864,67.51207,-5.329376,0.118188,0.522435,,,,,,,,,,,,6.4465,3.18433,2.30182,50,6.08599,-3.67588,-108.17537,4.09857,7.55883,20.71249,-28.44024,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,50bd9d70-fef2-11f0-b1f6-4576665ff52a,72.14759,,,7.3398,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:15:13.21,2026-01-31T14:15:13.2160000-08:00,2026-01-31T22:15:13.2160000Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,c9e33873-0581-46ff-9513-9ffe924593b6,55.66966,-109.25555,10.35625,5.83357,5.58177,-14.22012,2.50381,-4.07008,3.77941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-01-31,14:15:26.97,1,5,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.97838,-0.469633,3.530671,1541.758699,114.771615,9:45,5.73371,-2.39945,4.83642,-45.42999,7.90619,-13.36028,1.50233,-0.16537,67.92163,-8.688986,1.181516,0.525633,,,,,,,,,,,,7.58359,4.53146,2.06177,50,5.64843,-6.0827,-107.10936,-2.40631,8.80218,18.6505,-26.91446,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,58f57f30-fef2-11f0-b1f6-4576665ff52a,71.70871,,,6.05675,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:15:26.97,2026-01-31T14:15:26.9748224-08:00,2026-01-31T22:15:26.9748224Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,3ce66028-357b-4eec-b91d-bbb1b90d7024,55.66206,-108.09078,9.32525,5.73779,-0.99003,-13.45723,2.39403,-6.54588,4.40109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-01-31,14:15:45.70,1,6,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.59765,0.39846,1.701028,1733.523109,147.669914,11:00,5.65185,-2.28722,4.90515,-29.7747,16.068,-9.00875,3.54762,-1.42882,71.75636,-5.15293,0.11429,0.487311,,,,,,,,,,,,4.96827,8.28248,2.12862,50,5.66711,-3.05125,-116.4442,-0.18574,6.64924,27.01112,-21.08923,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,641c4380-fef2-11f0-b1f6-4576665ff52a,77.34774,,,8.84129,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:15:45.70,2026-01-31T14:15:45.7074176-08:00,2026-01-31T22:15:45.7074176Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,16c2b2a7-8cf8-4ddb-aef3-2e31f2560b2d,55.58477,-117.73255,13.50556,5.65199,0.82015,-10.54462,2.28172,-3.3684,3.32462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-01-31,14:16:00.44,1,7,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,0,3,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.64362,-1.024361,2.423118,1913.399071,144.952985,10:45,5.809,-2.32217,4.81667,-26.65946,17.9019,-11.35662,2.61609,-0.9719,73.24524,-5.982805,0.426584,0.480453,,,,,,,,,,,,6.30544,9.60138,2.09151,50,5.68533,-4.47312,-117.97936,-3.00878,8.72523,26.26196,-18.888,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,6cdf7550-fef2-11f0-b1f6-4576665ff52a,78.45192,,,8.39838,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:16:00.44,2026-01-31T14:16:00.4490000-08:00,2026-01-31T22:16:00.4490000Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,32b6755d-36e9-40a3-ac57-deef14acfccc,55.67497,-119.23591,13.13098,5.80767,-2.10506,-9.444,2.31553,-4.89059,4.36261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.42653,2.811701,1.794611,1.01709,-1.71937,2.27808,0.95171,0.59824,6.04608,-0.96064,73.88309,2.82178,-50.90096,0.62025,76.06701,-3.97377,6.07776,10.82183,-13.79693,-1.02349,-56.24593,7.10362,High,High,High,,,High,High,High
8,2026-01-31,14:16:28.12,2,1,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.49491,0.128683,2.222112,1898.325173,137.033279,10:30,5.62912,-2.28967,4.98135,-29.62348,17.02032,-14.21052,3.28211,-1.37432,71.32838,-5.386317,-0.283758,0.491551,59.73024,44.685646,151.217584,3281.390486,,,,,13.27531,,,7.76142,8.86741,2.08756,50,5.6184,-3.85767,-114.996,-0.70886,10.19821,25.05632,-20.52259,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,7d63ab30-fef2-11f0-b1f6-4576665ff52a,76.68064,14.93607,,8.16653,,,,1.13386,3.14297,1.48577,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:16:28.12,2026-01-31T14:16:28.1265152-08:00,2026-01-31T22:16:28.1265152Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,31267eb3-4836-45f0-9d0f-562890531cb8,55.51359,-116.19114,12.52816,5.62887,0.27003,-10.2613,2.28316,-4.3441,5.0991,,1.13493,-54.65546,1.61667,,,,,,,3.14622,61.4056,-32.99243,,,,,,,1.48549,30.00658,-2.16344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-01-31,14:16:59.10,2,2,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.09043,-1.019019,3.687263,1615.722592,108.404892,9:30,5.74403,-2.34097,4.63931,-44.04432,7.91902,-18.85977,1.10314,-0.40362,69.21513,-8.943708,0.381841,0.518824,,,,,,,,,,,,10.20997,4.63949,1.98116,50,5.5994,-6.23568,-108.72159,-3.48318,12.26388,18.43063,-26.60127,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,8fd950d0-fef2-11f0-b1f6-4576665ff52a,72.64979,,,5.8753,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:16:59.10,2026-01-31T14:16:59.1036416-08:00,2026-01-31T22:16:59.1036416Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,b8fa25de-e478-4262-b6c8-0b16e28311a9,55.86007,-109.7105,9.21532,5.748,-2.05587,-13.30063,2.3334,-6.8937,6.13194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-01-31,14:17:13.19,2,3,"Saltzgaber, Devin",1000335054,Left,POM_COL,"RHB, Alumni",N/A,Right,POM_COL,Undefined,1,Top,1,1,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.09012,-1.249355,3.357186,1970.70022,146.90239,11:00,5.75678,-2.21442,4.74155,-23.49777,21.1684,-12.81127,2.61132,-0.09389,73.78737,-5.610021,1.111425,0.481017,,,,,,,,,,,,7.19272,11.15788,1.8881,50,5.61107,-6.30868,-117.30503,-3.33837,9.99863,22.67885,-16.66348,POM_COL,POM_COL,PomonaPitzer,TeamExclusive,Team,20260131-PomonaPitzer-Private-2,983adaa0-fef2-11f0-b1f6-4576665ff52a,78.35985,,,7.30275,,,,,,,22fbb274-3d6d-453d-9c85-9e5b8037fb1a,2026-01-31,22:17:13.19,2026-01-31T14:17:13.1917312-08:00,2026-01-31T22:17:13.1917312Z,,v3,POM_PIT,POM_PIT,,"Ruyle, Brody",10183257,Right,POM_COL,4828b82d-e684-4b29-992a-a436b2b1ed3f,55.75384,-118.41221,11.33943,5.75419,-2.52486,-8.33174,2.20801,-6.79681,4.99932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
